carrier_code,dia_semana_despachado,cross_or_ff,zip_code,validacion_tel,cumplimiento
shipnow,3,1,1636,1,0
shipnow,4,1,1686,1,0
iflow,4,1,1900,1,0
shipnow,3,1,1657,1,0
oca,1,0,1631,1,0
shipnow,2,1,1636,1,0
shipnow,3,1,1663,1,0
shipnow,3,1,1742,1,0
shipnow,3,1,1640,1,0
shipnow,0,1,1824,1,0
shipnow,1,1,1900,1,0
shipnow,0,1,1667,1,0
shipnow,3,1,1706,1,0
iflow,2,1,1888,1,0
shipnow,3,1,1678,1,0
shipnow,2,1,1884,1,0
iflow,5,1,1765,1,0
iflow,1,1,1778,1,0
iflow,4,1,1684,1,0
shipnow,4,1,1613,1,0
shipnow,0,0,1644,1,0
iflow,3,1,1653,1,0
shipnow,2,1,1897,1,0
shipnow,0,1,1824,1,0
shipnow,0,1,1834,1,0
shipnow,3,1,1670,1,0
shipnow,3,1,1686,1,0
shipnow,0,0,1753,1,1
shipnow,4,1,1638,1,0
shipnow,3,1,1824,1,0
shipnow,3,0,1646,1,0
shipnow,2,1,1832,1,0
shipnow,2,1,1646,1,0
shipnow,3,1,1661,1,0
shipnow,2,1,1644,1,0
shipnow,2,1,1670,1,0
shipnow,3,1,1614,1,0
shipnow,2,1,1826,1,0
shipnow,2,1,1870,1,0
shipnow,2,1,1619,1,0
shipnow,3,1,1602,1,0
shipnow,3,1,1640,1,0
shipnow,3,1,1686,1,0
shipnow,3,1,1602,1,0
shipnow,2,1,1646,1,0
shipnow,2,1,1880,1,0
shipnow,3,1,1676,1,0
shipnow,2,1,1643,1,0
shipnow,3,1,1638,1,0
shipnow,3,1,1674,1,0
shipnow,2,1,1884,1,0
shipnow,3,1,1744,1,0
shipnow,2,1,1878,1,0
shipnow,3,1,1650,1,0
shipnow,2,1,1878,1,0
shipnow,3,1,1676,1,0
shipnow,2,1,1876,1,0
shipnow,2,1,1836,1,0
shipnow,2,1,1876,1,0
shipnow,2,1,1878,1,0
iflow,2,1,1847,1,0
shipnow,3,1,1684,1,0
shipnow,2,1,1824,1,0
shipnow,2,1,1900,1,0
shipnow,2,1,1870,1,0
iflow,2,1,1900,1,0
iflow,3,1,1822,1,0
shipnow,3,1,1613,1,0
iflow,2,1,1832,1,0
shipnow,3,1,1670,1,0
shipnow,3,1,1706,1,0
shipnow,2,1,1611,1,0
shipnow,2,1,1832,1,0
shipnow,2,1,1631,1,0
shipnow,3,1,1602,1,0
shipnow,3,1,1718,1,0
shipnow,2,1,1828,1,0
shipnow,3,1,1832,1,0
shipnow,1,1,1900,1,0
shipnow,1,1,1667,1,0
iflow,1,1,1824,1,0
shipnow,1,1,1667,1,0
shipnow,2,1,1900,1,0
shipnow,3,1,1650,1,0
iflow,1,1,1804,1,0
shipnow,1,1,1804,1,0
shipnow,3,1,1635,1,0
shipnow,3,1,1712,1,0
shipnow,2,1,1636,1,0
shipnow,1,0,1878,1,0
shipnow,4,1,1642,1,0
shipnow,2,1,1629,1,0
shipnow,2,1,1619,1,0
shipnow,3,1,1688,1,0
shipnow,3,1,1722,1,0
iflow,2,1,1888,1,0
shipnow,3,1,1900,1,0
shipnow,3,1,1752,1,0
